"Technology","Capacity","Scenario"
"H_BAT",283.249515032432,"Individual"
"H_PV",209.875045477453,"Individual"
"C_PV",176.882151361382,"32 Houses"
"C_BAT",186.503399516811,"32 Houses"
"C_PV",500,"320 Houses"
"C_WND",1109.12752187794,"320 Houses"
"C_BAT",63.4533706122933,"320 Houses"
"C_PV",5000,"3200 Houses"
"C_WND",7000,"3200 Houses"
"C_HB",11968.1826186687,"3200 Houses"
"C_BAT",1645.80896376909,"3200 Houses"
