"Tech","Value","Scenario"
"H_PV",502.588514587074,"Individual"
"Utility",9693.94690556026,"Individual"
"C_PV",4356.32321781922,"32 Houses"
"Utility",5906.9362542616,"32 Houses"
"C_PV",2016.66451856377,"320 Houses"
"C_WND",4265.34614444414,"320 Houses"
"Utility",3963.86727975608,"320 Houses"
"C_PV",2134.00346692393,"3200 Houses"
"C_WND",4277.46563762563,"3200 Houses"
"Utility",4220.69309533997,"3200 Houses"
