"Technology","Capacity","Scenario"
"H_GW",1443.09651741294,"Individual"
"H_RW",9751.376988,"Individual"
"H_RWTANK",34860.7561609763,"Individual"
"H_RW",11741.587776,"32 Houses"
"H_GW",884.19127122552,"32 Houses"
"H_RWTANK",32877.6226843053,"32 Houses"
"H_RW",128688,"320 Houses"
"H_GW",8842,"320 Houses"
"H_RWTANK",324379.344785799,"320 Houses"
"H_RW",522867.58065,"3200 Houses"
"H_GW",88054.5225654394,"3200 Houses"
"C_VRF",27000,"3200 Houses"
"H_RWTANK",844206.403330824,"3200 Houses"
