"Technology_Fraction","Value","Scenario"
"Electricity Fraction",0.0205788665175775,"Individual"
"Water Fraction",0,"Individual"
"Electricity Fraction",0.395473471741596,"32 Houses"
"Water Fraction",0,"32 Houses"
"Electricity Fraction",0.620717360337861,"320 Houses"
"Water Fraction",0,"320 Houses"
"Electricity Fraction",0.59626352850494,"3200 Houses"
"Water Fraction",0,"3200 Houses"
