"Technology_Fraction","Value","Scenario"
"Electricity Fraction",0.0300931292011831,"Individual"
"Water Fraction",0.21584394040508,"Individual"
"Electricity Fraction",0.391663680466907,"32 Houses"
"Water Fraction",0.314816612372341,"32 Houses"
"Electricity Fraction",0.61319817358219,"320 Houses"
"Water Fraction",0.318693392643376,"320 Houses"
"Electricity Fraction",0.603026574201963,"3200 Houses"
"Water Fraction",0.468642622518044,"3200 Houses"
