"timeslice","hour"
"WDB3",2016-05-08 02:00:00
"WDB4",2016-05-08 03:00:00
"WDB5",2016-05-08 04:00:00
"WDB6",2016-05-08 05:00:00
"WDB7",2016-05-08 06:00:00
"WDB8",2016-05-08 07:00:00
"WDB9",2016-05-08 08:00:00
"WDB10",2016-05-08 09:00:00
"WDB11",2016-05-08 10:00:00
"WDB12",2016-05-08 11:00:00
"WDB13",2016-05-08 12:00:00
"WDB14",2016-05-08 13:00:00
"WDB15",2016-05-08 14:00:00
"WDB16",2016-05-08 15:00:00
"WDB17",2016-05-08 16:00:00
"WDB18",2016-05-08 17:00:00
"WDB19",2016-05-08 18:00:00
"WDB20",2016-05-08 19:00:00
"WDB21",2016-05-08 20:00:00
"WDB22",2016-05-08 21:00:00
"WDB23",2016-05-08 22:00:00
"WDB24",2016-05-08 23:00:00
"WDB25",2016-05-09
"WDB26",2016-05-09 01:00:00
"WDB27",2016-05-09 02:00:00
"WDB28",2016-05-09 03:00:00
"WDB29",2016-05-09 04:00:00
"WDB30",2016-05-09 05:00:00
"WDB31",2016-05-09 06:00:00
"WDB32",2016-05-09 07:00:00
"WDB33",2016-05-09 08:00:00
"WDB34",2016-05-09 09:00:00
"WDB35",2016-05-09 10:00:00
"WDB36",2016-05-09 11:00:00
"WDB37",2016-05-09 12:00:00
"WDB38",2016-05-09 13:00:00
"WDB39",2016-05-09 14:00:00
"WDB40",2016-05-09 15:00:00
"WDB41",2016-05-09 16:00:00
"WDB42",2016-05-09 17:00:00
"WDB43",2016-05-09 18:00:00
"WDB44",2016-05-09 19:00:00
"WDB45",2016-05-09 20:00:00
"WDB46",2016-05-09 21:00:00
"WDB47",2016-05-09 22:00:00
"WDB48",2016-05-09 23:00:00
"WDB49",2016-05-10
"WDB50",2016-05-10 01:00:00
"WDB51",2016-05-10 02:00:00
"WDB52",2016-05-10 03:00:00
"WDB53",2016-05-10 04:00:00
"WDB54",2016-05-10 05:00:00
"WDB55",2016-05-10 06:00:00
"WDB56",2016-05-10 07:00:00
"WDB57",2016-05-10 08:00:00
"WDB58",2016-05-10 09:00:00
"WDB59",2016-05-10 10:00:00
"WDB60",2016-05-10 11:00:00
"WDB61",2016-05-10 12:00:00
"WDB62",2016-05-10 13:00:00
"WDB63",2016-05-10 14:00:00
"WDB64",2016-05-10 15:00:00
"WDB65",2016-05-10 16:00:00
"WDB66",2016-05-10 17:00:00
"WDB67",2016-05-10 18:00:00
"WDB68",2016-05-10 19:00:00
"WDB69",2016-05-10 20:00:00
"WDB70",2016-05-10 21:00:00
"WDB71",2016-05-10 22:00:00
"WDB72",2016-05-10 23:00:00
"WDB73",2016-05-11
"WDB74",2016-05-11 01:00:00
"WDB75",2016-05-11 02:00:00
"WDB76",2016-05-11 03:00:00
"WDB77",2016-05-11 04:00:00
"WDB78",2016-05-11 05:00:00
"WDB79",2016-05-11 06:00:00
"WDB80",2016-05-11 07:00:00
"WDB81",2016-05-11 08:00:00
"WDB82",2016-05-11 09:00:00
"WDB83",2016-05-11 10:00:00
"WDB84",2016-05-11 11:00:00
"WDB85",2016-05-11 12:00:00
"WDB86",2016-05-11 13:00:00
"WDB87",2016-05-11 14:00:00
"WDB88",2016-05-11 15:00:00
"WDB89",2016-05-11 16:00:00
"WDB90",2016-05-11 17:00:00
"WDB91",2016-05-11 18:00:00
"WDB92",2016-05-11 19:00:00
"WDB93",2016-05-11 20:00:00
"WDB94",2016-05-11 21:00:00
"WDB95",2016-05-11 22:00:00
"WDB96",2016-05-11 23:00:00
"WDB97",2016-05-12
"WDB98",2016-05-12 01:00:00
"WDB99",2016-05-12 02:00:00
"WDB100",2016-05-12 03:00:00
"WDB101",2016-05-12 04:00:00
"WDB102",2016-05-12 05:00:00
"WDB103",2016-05-12 06:00:00
"WDB104",2016-05-12 07:00:00
"WDB105",2016-05-12 08:00:00
"WDB106",2016-05-12 09:00:00
"WDB107",2016-05-12 10:00:00
"WDB108",2016-05-12 11:00:00
"WDB109",2016-05-12 12:00:00
"WDB110",2016-05-12 13:00:00
"WDB111",2016-05-12 14:00:00
"WDB112",2016-05-12 15:00:00
"WDB113",2016-05-12 16:00:00
"WDB114",2016-05-12 17:00:00
"WDB115",2016-05-12 18:00:00
"WDB116",2016-05-12 19:00:00
"WDB117",2016-05-12 20:00:00
"WDB118",2016-05-12 21:00:00
"WDB119",2016-05-12 22:00:00
"WDB120",2016-05-12 23:00:00
"WEB1",2016-05-13
"WEB2",2016-05-13 01:00:00
"WEB3",2016-05-13 02:00:00
"WEB4",2016-05-13 03:00:00
"WEB5",2016-05-13 04:00:00
"WEB6",2016-05-13 05:00:00
"WEB7",2016-05-13 06:00:00
"WEB8",2016-05-13 07:00:00
"WEB9",2016-05-13 08:00:00
"WEB10",2016-05-13 09:00:00
"WEB11",2016-05-13 10:00:00
"WEB12",2016-05-13 11:00:00
"WEB13",2016-05-13 12:00:00
"WEB14",2016-05-13 13:00:00
"WEB15",2016-05-13 14:00:00
"WEB16",2016-05-13 15:00:00
"WEB17",2016-05-13 16:00:00
"WEB18",2016-05-13 17:00:00
