"Tech","Value","Scenario"
"H_PV",7533.07319834154,"Individual"
"Utility",3004.42012350557,"Individual"
"C_PV",7108.4762264041,"32 Houses"
"Utility",3285.16889785986,"32 Houses"
"C_PV",2629.9865243571,"320 Houses"
"C_WND",5840.98280773151,"320 Houses"
"Utility",1798.93273945095,"320 Houses"
"C_PV",1906.69321675036,"3200 Houses"
"C_WND",4844.45139045618,"3200 Houses"
"C_HB",2327.96616811885,"3200 Houses"
"Utility",1902.31404468802,"3200 Houses"
