"Fuel","Value","2","3","4","5","6","7","8","9","10","11","12","House"
"kWh",372.501,314.817,323.333,439.527,633.999999999999,810.65,1078.523,893.976,858.848999999999,581.405,383.004,352.734,32
"GAL",14317.400486,13066,11805,18769,18301,13451,17708,18684,16082,13316,16008,12441,32
