"Technology","Capacity","Scenario"
"H_GW",1485.75651741294,"Individual"
"H_RW",10715.82173696,"Individual"
"H_RWTANK",37818.6368122295,"Individual"
"H_RW",12869,"32 Houses"
"H_GW",881,"32 Houses"
"H_RWTANK",32877.6226843053,"32 Houses"
"H_RW",117416,"320 Houses"
"H_GW",6415,"320 Houses"
"H_RWTANK",328776.226843053,"320 Houses"
"H_RW",1174159,"3200 Houses"
"H_GW",88420,"3200 Houses"
"C_VRF",9001,"3200 Houses"
"H_RWTANK",2389989.30648805,"3200 Houses"
