"Technology_Fraction","Value","Scenario"
"Electricity Fraction",0.481295190653091,"Individual"
"Water Fraction",0.257497383623472,"Individual"
"Electricity Fraction",0.524807387121491,"32 Houses"
"Water Fraction",0.314875097606232,"32 Houses"
"Electricity Fraction",0.807322091569712,"320 Houses"
"Water Fraction",0.323072430910453,"320 Houses"
"Electricity Fraction",0.784346054950293,"3200 Houses"
"Water Fraction",0.546747431470746,"3200 Houses"
