"Technology","Capacity","Scenario"
"H_BAT",0.697857895855189,"Individual"
"H_PV",11.8763231410972,"Individual"
"C_PV",98.3464793287165,"32 Houses"
"C_BAT",26.5624824728891,"32 Houses"
"C_PV",424.53480948604,"320 Houses"
"C_WND",513.586823115321,"320 Houses"
"C_PV",4500,"3200 Houses"
"C_WND",5000,"3200 Houses"
