"Tech","Value","Scenario"
"Utility",10008.640765625,"Utility"
"H_PV",390.00142996542,"Individual"
"Utility",9618.88154528194,"Individual"
"C_PV",4380.88137949297,"32 Houses"
"Utility",5645.12608817808,"32 Houses"
"C_PV",1504.06732775086,"320 Houses"
"C_WND",4708.78324621208,"320 Houses"
"Utility",3796.28883115848,"320 Houses"
"C_PV",1781.59677563088,"3200 Houses"
"C_WND",4186.08606182417,"3200 Houses"
"C_HB",-2.53080505631338e-09,"3200 Houses"
"Utility",4041.33587086091,"3200 Houses"
