"Technology","Capacity","Scenario"
"H_BAT",0.4510440291748,"Individual"
"H_PV",9.64805163800287,"Individual"
"C_PV",98.0276197820137,"32 Houses"
"C_BAT",34.1068897011349,"32 Houses"
"C_PV",250,"320 Houses"
"C_WND",627.985312939476,"320 Houses"
"C_PV",3750,"3200 Houses"
"C_WND",5000,"3200 Houses"
"C_HB",1,"3200 Houses"
